"grupo_edad","Sexo","frecuencia"
"0-4","F",82
"0-4","M",110
"5-9","F",26
"5-9","M",29
"10-14","F",31
"10-14","M",33
"15-19","F",68
"15-19","M",94
"20-24","F",237
"20-24","M",293
"25-29","F",454
"25-29","M",676
"30-34","F",612
"30-34","M",1136
"35-39","F",927
"35-39","M",1987
"40-44","F",1446
"40-44","M",2987
"45-49","F",1923
"45-49","M",3912
"50-54","F",2946
"50-54","M",5435
"55-59","F",4481
"55-59","M",7526
"60-64","F",5881
"60-64","M",9382
"65-69","F",6699
"65-69","M",10290
"70-74","F",6997
"70-74","M",11057
"75-79","F",6867
"75-79","M",10306
"80 รณ +","F",16706
"80 รณ +","M",21489
