"grupo_edad","Sexo","frecuencia","tipo"
"0-4","M",1969659,"poblacion"
"0-4","F",1884218,"poblacion"
"5-9","M",1998649,"poblacion"
"5-9","F",1912622,"poblacion"
"10-14","M",2021148,"poblacion"
"10-14","F",1936626,"poblacion"
"15-19","M",2096755,"poblacion"
"15-19","F",2025731,"poblacion"
"20-24","M",2191270,"poblacion"
"20-24","F",2160742,"poblacion"
"25-29","M",2119549,"poblacion"
"25-29","F",2132347,"poblacion"
"30-34","M",1912043,"poblacion"
"30-34","F",1967332,"poblacion"
"35-39","M",1758880,"poblacion"
"35-39","F",1856142,"poblacion"
"40-44","M",1549674,"poblacion"
"40-44","F",1684492,"poblacion"
"45-49","M",1378961,"poblacion"
"45-49","F",1543424,"poblacion"
"50-54","M",1329059,"poblacion"
"50-54","F",1518354,"poblacion"
"55-59","M",1207171,"poblacion"
"55-59","F",1402670,"poblacion"
"60-64","M",988525,"poblacion"
"60-64","F",1166151,"poblacion"
"65-69","M",755974,"poblacion"
"65-69","F",902170,"poblacion"
"70-74","M",545635,"poblacion"
"70-74","F",662811,"poblacion"
"75-79","M",362185,"poblacion"
"75-79","F",451013,"poblacion"
"80 รณ +","M",442377,"poblacion"
"80 รณ +","F",573288,"poblacion"
