"departamento","grupo_edad","poblacionxedad"
"amazonas",0,1940
"amazonas",1,1904
"amazonas",2,1922
"amazonas",3,1934
"amazonas",4,1941
"amazonas",5,1946
"amazonas",6,1954
"amazonas",7,1950
"amazonas",8,1943
"amazonas",9,1940
"amazonas",10,1916
"amazonas",11,1897
"amazonas",12,1860
"amazonas",13,1823
"amazonas",14,1782
"amazonas",15,1735
"amazonas",16,1689
"amazonas",17,1627
"amazonas",18,1573
"amazonas",19,1506
"amazonas",20,1442
"amazonas",21,1375
"amazonas",22,1322
"amazonas",23,1271
"amazonas",24,1236
"amazonas",25,1216
"amazonas",26,1202
"amazonas",27,1192
"amazonas",28,1185
"amazonas",29,1157
"amazonas",30,1119
"amazonas",31,1096
"amazonas",32,1082
"amazonas",33,1056
"amazonas",34,1037
"amazonas",35,1013
"amazonas",36,985
"amazonas",37,952
"amazonas",38,923
"amazonas",39,887
"amazonas",40,860
"amazonas",41,827
"amazonas",42,792
"amazonas",43,763
"amazonas",44,734
"amazonas",45,711
"amazonas",46,695
"amazonas",47,678
"amazonas",48,659
"amazonas",49,639
"amazonas",50,615
"amazonas",51,583
"amazonas",52,559
"amazonas",53,528
"amazonas",54,514
"amazonas",55,504
"amazonas",56,495
"amazonas",57,475
"amazonas",58,458
"amazonas",59,431
"amazonas",60,413
"amazonas",61,383
"amazonas",62,360
"amazonas",63,343
"amazonas",64,316
"amazonas",65,304
"amazonas",66,295
"amazonas",67,274
"amazonas",68,260
"amazonas",69,235
"amazonas",70,207
"amazonas",71,183
"amazonas",72,157
"amazonas",73,144
"amazonas",74,136
"amazonas",75,129
"amazonas",76,125
"amazonas",77,121
"amazonas",78,114
"amazonas",79,108
"amazonas",80,100
"amazonas",81,100
"amazonas",82,92
"amazonas",83,86
"amazonas",84,82
"amazonas",85,636
"antioquia",0,91439
"antioquia",1,91342
"antioquia",2,91545
"antioquia",3,91746
"antioquia",4,91882
"antioquia",5,92073
"antioquia",6,92337
"antioquia",7,92672
"antioquia",8,93106
"antioquia",9,93690
"antioquia",10,94426
"antioquia",11,95308
"antioquia",12,96372
"antioquia",13,97625
"antioquia",14,99063
"antioquia",15,100720
"antioquia",16,102593
"antioquia",17,104577
"antioquia",18,106762
"antioquia",19,109198
"antioquia",20,111591
"antioquia",21,113560
"antioquia",22,115012
"antioquia",23,115958
"antioquia",24,116211
"antioquia",25,115879
"antioquia",26,115244
"antioquia",27,114356
"antioquia",28,112885
"antioquia",29,110764
"antioquia",30,108270
"antioquia",31,105872
"antioquia",32,103595
"antioquia",33,101692
"antioquia",34,100409
"antioquia",35,99420
"antioquia",36,98379
"antioquia",37,97070
"antioquia",38,95061
"antioquia",39,92096
"antioquia",40,88413
"antioquia",41,84661
"antioquia",42,81056
"antioquia",43,78219
"antioquia",44,76628
"antioquia",45,76019
"antioquia",46,75916
"antioquia",47,76168
"antioquia",48,76839
"antioquia",49,77873
"antioquia",50,79030
"antioquia",51,79981
"antioquia",52,80730
"antioquia",53,80779
"antioquia",54,79910
"antioquia",55,78303
"antioquia",56,76293
"antioquia",57,73946
"antioquia",58,71369
"antioquia",59,68711
"antioquia",60,65988
"antioquia",61,63062
"antioquia",62,60100
"antioquia",63,57068
"antioquia",64,54103
"antioquia",65,51139
"antioquia",66,48236
"antioquia",67,45374
"antioquia",68,42599
"antioquia",69,39970
"antioquia",70,37423
"antioquia",71,34938
"antioquia",72,32515
"antioquia",73,30077
"antioquia",74,27662
"antioquia",75,25319
"antioquia",76,23060
"antioquia",77,20844
"antioquia",78,18856
"antioquia",79,16981
"antioquia",80,15235
"antioquia",81,13660
"antioquia",82,12200
"antioquia",83,10864
"antioquia",84,9658
"antioquia",85,60631
"arauca",0,5748
"arauca",1,5759
"arauca",2,5704
"arauca",3,5650
"arauca",4,5590
"arauca",5,5527
"arauca",6,5474
"arauca",7,5424
"arauca",8,5375
"arauca",9,5338
"arauca",10,5306
"arauca",11,5286
"arauca",12,5268
"arauca",13,5264
"arauca",14,5267
"arauca",15,5278
"arauca",16,5288
"arauca",17,5308
"arauca",18,5313
"arauca",19,5307
"arauca",20,5297
"arauca",21,5274
"arauca",22,5241
"arauca",23,5202
"arauca",24,5180
"arauca",25,5139
"arauca",26,5088
"arauca",27,5008
"arauca",28,4906
"arauca",29,4768
"arauca",30,4624
"arauca",31,4487
"arauca",32,4361
"arauca",33,4248
"arauca",34,4157
"arauca",35,4072
"arauca",36,3996
"arauca",37,3895
"arauca",38,3788
"arauca",39,3677
"arauca",40,3549
"arauca",41,3423
"arauca",42,3296
"arauca",43,3186
"arauca",44,3096
"arauca",45,3028
"arauca",46,2971
"arauca",47,2936
"arauca",48,2899
"arauca",49,2833
"arauca",50,2759
"arauca",51,2680
"arauca",52,2598
"arauca",53,2504
"arauca",54,2423
"arauca",55,2337
"arauca",56,2237
"arauca",57,2129
"arauca",58,2022
"arauca",59,1913
"arauca",60,1811
"arauca",61,1695
"arauca",62,1600
"arauca",63,1491
"arauca",64,1401
"arauca",65,1305
"arauca",66,1217
"arauca",67,1134
"arauca",68,1063
"arauca",69,987
"arauca",70,931
"arauca",71,861
"arauca",72,807
"arauca",73,752
"arauca",74,705
"arauca",75,654
"arauca",76,607
"arauca",77,557
"arauca",78,517
"arauca",79,476
"arauca",80,439
"arauca",81,396
"arauca",82,365
"arauca",83,331
"arauca",84,303
"arauca",85,2003
"atlantico",0,43965
"atlantico",1,44348
"atlantico",2,44296
"atlantico",3,44260
"atlantico",4,44206
"atlantico",5,44147
"atlantico",6,44115
"atlantico",7,44098
"atlantico",8,44095
"atlantico",9,44123
"atlantico",10,44191
"atlantico",11,44286
"atlantico",12,44439
"atlantico",13,44617
"atlantico",14,44866
"atlantico",15,45161
"atlantico",16,45528
"atlantico",17,45894
"atlantico",18,46170
"atlantico",19,46282
"atlantico",20,46219
"atlantico",21,46038
"atlantico",22,45705
"atlantico",23,45421
"atlantico",24,45260
"atlantico",25,45133
"atlantico",26,44867
"atlantico",27,44452
"atlantico",28,43870
"atlantico",29,43020
"atlantico",30,42056
"atlantico",31,41163
"atlantico",32,40356
"atlantico",33,39702
"atlantico",34,39232
"atlantico",35,38872
"atlantico",36,38496
"atlantico",37,37998
"atlantico",38,37302
"atlantico",39,36294
"atlantico",40,35095
"atlantico",41,33832
"atlantico",42,32623
"atlantico",43,31581
"atlantico",44,30789
"atlantico",45,30253
"atlantico",46,29896
"atlantico",47,29681
"atlantico",48,29570
"atlantico",49,29519
"atlantico",50,29465
"atlantico",51,29368
"atlantico",52,29172
"atlantico",53,28855
"atlantico",54,28397
"atlantico",55,27812
"atlantico",56,27081
"atlantico",57,26251
"atlantico",58,25313
"atlantico",59,24231
"atlantico",60,23089
"atlantico",61,21909
"atlantico",62,20718
"atlantico",63,19562
"atlantico",64,18491
"atlantico",65,17484
"atlantico",66,16495
"atlantico",67,15549
"atlantico",68,14578
"atlantico",69,13622
"atlantico",70,12651
"atlantico",71,11717
"atlantico",72,10805
"atlantico",73,9960
"atlantico",74,9164
"atlantico",75,8424
"atlantico",76,7690
"atlantico",77,7011
"atlantico",78,6353
"atlantico",79,5757
"atlantico",80,5209
"atlantico",81,4688
"atlantico",82,4213
"atlantico",83,3781
"atlantico",84,3386
"atlantico",85,22518
"bogota_d_c",0,98653
"bogota_d_c",1,97573
"bogota_d_c",2,97197
"bogota_d_c",3,96701
"bogota_d_c",4,96217
"bogota_d_c",5,95822
"bogota_d_c",6,95536
"bogota_d_c",7,95395
"bogota_d_c",8,95447
"bogota_d_c",9,95708
"bogota_d_c",10,96212
"bogota_d_c",11,97010
"bogota_d_c",12,98138
"bogota_d_c",13,99636
"bogota_d_c",14,101556
"bogota_d_c",15,103997
"bogota_d_c",16,107074
"bogota_d_c",17,110922
"bogota_d_c",18,116317
"bogota_d_c",19,123706
"bogota_d_c",20,131883
"bogota_d_c",21,139203
"bogota_d_c",22,145948
"bogota_d_c",23,150156
"bogota_d_c",24,150941
"bogota_d_c",25,149375
"bogota_d_c",26,147581
"bogota_d_c",27,145352
"bogota_d_c",28,142598
"bogota_d_c",29,139548
"bogota_d_c",30,136342
"bogota_d_c",31,133053
"bogota_d_c",32,129886
"bogota_d_c",33,127226
"bogota_d_c",34,125326
"bogota_d_c",35,123879
"bogota_d_c",36,122307
"bogota_d_c",37,120347
"bogota_d_c",38,117868
"bogota_d_c",39,114711
"bogota_d_c",40,111066
"bogota_d_c",41,107221
"bogota_d_c",42,103588
"bogota_d_c",43,100367
"bogota_d_c",44,97741
"bogota_d_c",45,95747
"bogota_d_c",46,94441
"bogota_d_c",47,93591
"bogota_d_c",48,93233
"bogota_d_c",49,93322
"bogota_d_c",50,93636
"bogota_d_c",51,93722
"bogota_d_c",52,93478
"bogota_d_c",53,92797
"bogota_d_c",54,91563
"bogota_d_c",55,89793
"bogota_d_c",56,87598
"bogota_d_c",57,85040
"bogota_d_c",58,82047
"bogota_d_c",59,78621
"bogota_d_c",60,74886
"bogota_d_c",61,71059
"bogota_d_c",62,67169
"bogota_d_c",63,63339
"bogota_d_c",64,59647
"bogota_d_c",65,56097
"bogota_d_c",66,52625
"bogota_d_c",67,49208
"bogota_d_c",68,45963
"bogota_d_c",69,42928
"bogota_d_c",70,40056
"bogota_d_c",71,37243
"bogota_d_c",72,34499
"bogota_d_c",73,31870
"bogota_d_c",74,29351
"bogota_d_c",75,26919
"bogota_d_c",76,24563
"bogota_d_c",77,22307
"bogota_d_c",78,20195
"bogota_d_c",79,18243
"bogota_d_c",80,16438
"bogota_d_c",81,14775
"bogota_d_c",82,13249
"bogota_d_c",83,11843
"bogota_d_c",84,10554
"bogota_d_c",85,66886
"bolivar",0,39183
"bolivar",1,39477
"bolivar",2,39307
"bolivar",3,39128
"bolivar",4,38958
"bolivar",5,38781
"bolivar",6,38620
"bolivar",7,38491
"bolivar",8,38378
"bolivar",9,38300
"bolivar",10,38249
"bolivar",11,38267
"bolivar",12,38314
"bolivar",13,38402
"bolivar",14,38550
"bolivar",15,38723
"bolivar",16,38913
"bolivar",17,39088
"bolivar",18,39065
"bolivar",19,38674
"bolivar",20,38066
"bolivar",21,37404
"bolivar",22,36639
"bolivar",23,35983
"bolivar",24,35629
"bolivar",25,35402
"bolivar",26,35038
"bolivar",27,34641
"bolivar",28,34100
"bolivar",29,33380
"bolivar",30,32536
"bolivar",31,31793
"bolivar",32,31182
"bolivar",33,30597
"bolivar",34,30080
"bolivar",35,29605
"bolivar",36,29121
"bolivar",37,28566
"bolivar",38,27956
"bolivar",39,27331
"bolivar",40,26669
"bolivar",41,25963
"bolivar",42,25308
"bolivar",43,24706
"bolivar",44,24176
"bolivar",45,23757
"bolivar",46,23472
"bolivar",47,23330
"bolivar",48,23209
"bolivar",49,23089
"bolivar",50,22938
"bolivar",51,22739
"bolivar",52,22479
"bolivar",53,22102
"bolivar",54,21589
"bolivar",55,20950
"bolivar",56,20245
"bolivar",57,19416
"bolivar",58,18593
"bolivar",59,17836
"bolivar",60,17113
"bolivar",61,16341
"bolivar",62,15572
"bolivar",63,14814
"bolivar",64,14066
"bolivar",65,13329
"bolivar",66,12636
"bolivar",67,11964
"bolivar",68,11270
"bolivar",69,10549
"bolivar",70,9790
"bolivar",71,9071
"bolivar",72,8360
"bolivar",73,7698
"bolivar",74,7162
"bolivar",75,6647
"bolivar",76,6148
"bolivar",77,5661
"bolivar",78,5194
"bolivar",79,4771
"bolivar",80,4360
"bolivar",81,3973
"bolivar",82,3633
"bolivar",83,3302
"bolivar",84,3001
"bolivar",85,21604
"boyaca",0,18129
"boyaca",1,18301
"boyaca",2,18486
"boyaca",3,18588
"boyaca",4,18735
"boyaca",5,18863
"boyaca",6,19000
"boyaca",7,19136
"boyaca",8,19246
"boyaca",9,19401
"boyaca",10,19528
"boyaca",11,19635
"boyaca",12,19759
"boyaca",13,19860
"boyaca",14,19940
"boyaca",15,19996
"boyaca",16,20004
"boyaca",17,20059
"boyaca",18,19927
"boyaca",19,19826
"boyaca",20,19605
"boyaca",21,19347
"boyaca",22,19027
"boyaca",23,18699
"boyaca",24,18425
"boyaca",25,18121
"boyaca",26,17759
"boyaca",27,17297
"boyaca",28,16949
"boyaca",29,16773
"boyaca",30,16662
"boyaca",31,16640
"boyaca",32,16720
"boyaca",33,16790
"boyaca",34,16848
"boyaca",35,16902
"boyaca",36,16914
"boyaca",37,16918
"boyaca",38,16848
"boyaca",39,16684
"boyaca",40,16506
"boyaca",41,16266
"boyaca",42,16048
"boyaca",43,15801
"boyaca",44,15582
"boyaca",45,15307
"boyaca",46,15201
"boyaca",47,15141
"boyaca",48,15062
"boyaca",49,14990
"boyaca",50,14882
"boyaca",51,14742
"boyaca",52,14538
"boyaca",53,14363
"boyaca",54,14132
"boyaca",55,13960
"boyaca",56,13694
"boyaca",57,13384
"boyaca",58,13034
"boyaca",59,12663
"boyaca",60,12296
"boyaca",61,11915
"boyaca",62,11502
"boyaca",63,11111
"boyaca",64,10646
"boyaca",65,10173
"boyaca",66,9732
"boyaca",67,9281
"boyaca",68,8821
"boyaca",69,8350
"boyaca",70,7881
"boyaca",71,7398
"boyaca",72,6944
"boyaca",73,6494
"boyaca",74,6091
"boyaca",75,5688
"boyaca",76,5324
"boyaca",77,4925
"boyaca",78,4576
"boyaca",79,4238
"boyaca",80,3892
"boyaca",81,3616
"boyaca",82,3321
"boyaca",83,3037
"boyaca",84,2778
"boyaca",85,19237
"caldas",0,12792
"caldas",1,12844
"caldas",2,12840
"caldas",3,12830
"caldas",4,12822
"caldas",5,12827
"caldas",6,12856
"caldas",7,12884
"caldas",8,12953
"caldas",9,13060
"caldas",10,13181
"caldas",11,13373
"caldas",12,13584
"caldas",13,13851
"caldas",14,14135
"caldas",15,14439
"caldas",16,14749
"caldas",17,15028
"caldas",18,15280
"caldas",19,15440
"caldas",20,15582
"caldas",21,15651
"caldas",22,15658
"caldas",23,15663
"caldas",24,15671
"caldas",25,15645
"caldas",26,15515
"caldas",27,15328
"caldas",28,15071
"caldas",29,14785
"caldas",30,14475
"caldas",31,14200
"caldas",32,13918
"caldas",33,13793
"caldas",34,13812
"caldas",35,13931
"caldas",36,14055
"caldas",37,14138
"caldas",38,14097
"caldas",39,13828
"caldas",40,13451
"caldas",41,13058
"caldas",42,12688
"caldas",43,12433
"caldas",44,12378
"caldas",45,12444
"caldas",46,12586
"caldas",47,12801
"caldas",48,12991
"caldas",49,13136
"caldas",50,13237
"caldas",51,13311
"caldas",52,13341
"caldas",53,13345
"caldas",54,13316
"caldas",55,13249
"caldas",56,13112
"caldas",57,12894
"caldas",58,12645
"caldas",59,12386
"caldas",60,12103
"caldas",61,11787
"caldas",62,11455
"caldas",63,11070
"caldas",64,10587
"caldas",65,10039
"caldas",66,9499
"caldas",67,8955
"caldas",68,8423
"caldas",69,7942
"caldas",70,7490
"caldas",71,7006
"caldas",72,6563
"caldas",73,6085
"caldas",74,5628
"caldas",75,5179
"caldas",76,4735
"caldas",77,4320
"caldas",78,3917
"caldas",79,3561
"caldas",80,3226
"caldas",81,2912
"caldas",82,2618
"caldas",83,2354
"caldas",84,2107
"caldas",85,13397
"caqueta",0,8023
"caqueta",1,8111
"caqueta",2,8149
"caqueta",3,8177
"caqueta",4,8200
"caqueta",5,8229
"caqueta",6,8258
"caqueta",7,8263
"caqueta",8,8284
"caqueta",9,8289
"caqueta",10,8286
"caqueta",11,8270
"caqueta",12,8254
"caqueta",13,8219
"caqueta",14,8172
"caqueta",15,8119
"caqueta",16,8032
"caqueta",17,7930
"caqueta",18,7815
"caqueta",19,7666
"caqueta",20,7511
"caqueta",21,7355
"caqueta",22,7186
"caqueta",23,7036
"caqueta",24,6924
"caqueta",25,6814
"caqueta",26,6700
"caqueta",27,6581
"caqueta",28,6443
"caqueta",29,6282
"caqueta",30,6114
"caqueta",31,5969
"caqueta",32,5841
"caqueta",33,5735
"caqueta",34,5635
"caqueta",35,5535
"caqueta",36,5437
"caqueta",37,5327
"caqueta",38,5216
"caqueta",39,5088
"caqueta",40,4967
"caqueta",41,4821
"caqueta",42,4686
"caqueta",43,4560
"caqueta",44,4453
"caqueta",45,4346
"caqueta",46,4285
"caqueta",47,4239
"caqueta",48,4181
"caqueta",49,4113
"caqueta",50,4036
"caqueta",51,3943
"caqueta",52,3835
"caqueta",53,3739
"caqueta",54,3626
"caqueta",55,3510
"caqueta",56,3370
"caqueta",57,3217
"caqueta",58,3065
"caqueta",59,2928
"caqueta",60,2798
"caqueta",61,2645
"caqueta",62,2516
"caqueta",63,2385
"caqueta",64,2249
"caqueta",65,2111
"caqueta",66,1976
"caqueta",67,1858
"caqueta",68,1733
"caqueta",69,1629
"caqueta",70,1537
"caqueta",71,1439
"caqueta",72,1342
"caqueta",73,1262
"caqueta",74,1159
"caqueta",75,1073
"caqueta",76,982
"caqueta",77,903
"caqueta",78,818
"caqueta",79,742
"caqueta",80,670
"caqueta",81,615
"caqueta",82,551
"caqueta",83,489
"caqueta",84,443
"caqueta",85,2822
"casanare",0,7975
"casanare",1,8059
"casanare",2,8002
"casanare",3,7956
"casanare",4,7917
"casanare",5,7869
"casanare",6,7832
"casanare",7,7791
"casanare",8,7772
"casanare",9,7745
"casanare",10,7734
"casanare",11,7729
"casanare",12,7750
"casanare",13,7761
"casanare",14,7791
"casanare",15,7814
"casanare",16,7843
"casanare",17,7876
"casanare",18,7874
"casanare",19,7862
"casanare",20,7812
"casanare",21,7765
"casanare",22,7690
"casanare",23,7626
"casanare",24,7593
"casanare",25,7539
"casanare",26,7468
"casanare",27,7367
"casanare",28,7280
"casanare",29,7209
"casanare",30,7139
"casanare",31,7087
"casanare",32,7077
"casanare",33,7022
"casanare",34,6909
"casanare",35,6752
"casanare",36,6594
"casanare",37,6415
"casanare",38,6229
"casanare",39,6128
"casanare",40,6031
"casanare",41,5912
"casanare",42,5800
"casanare",43,5671
"casanare",44,5488
"casanare",45,5304
"casanare",46,5148
"casanare",47,5025
"casanare",48,4902
"casanare",49,4758
"casanare",50,4608
"casanare",51,4443
"casanare",52,4258
"casanare",53,4081
"casanare",54,3925
"casanare",55,3756
"casanare",56,3588
"casanare",57,3387
"casanare",58,3211
"casanare",59,3050
"casanare",60,2907
"casanare",61,2750
"casanare",62,2619
"casanare",63,2468
"casanare",64,2280
"casanare",65,2089
"casanare",66,1922
"casanare",67,1750
"casanare",68,1596
"casanare",69,1489
"casanare",70,1408
"casanare",71,1317
"casanare",72,1247
"casanare",73,1153
"casanare",74,1066
"casanare",75,971
"casanare",76,879
"casanare",77,796
"casanare",78,729
"casanare",79,645
"casanare",80,576
"casanare",81,528
"casanare",82,460
"casanare",83,412
"casanare",84,360
"casanare",85,2147
"cauca",0,23422
"cauca",1,23772
"cauca",2,23816
"cauca",3,23852
"cauca",4,23887
"cauca",5,23936
"cauca",6,23993
"cauca",7,24071
"cauca",8,24205
"cauca",9,24346
"cauca",10,24541
"cauca",11,24799
"cauca",12,25103
"cauca",13,25438
"cauca",14,25820
"cauca",15,26194
"cauca",16,26570
"cauca",17,26917
"cauca",18,27150
"cauca",19,27279
"cauca",20,27276
"cauca",21,27178
"cauca",22,26904
"cauca",23,26588
"cauca",24,26257
"cauca",25,25860
"cauca",26,25233
"cauca",27,24505
"cauca",28,23856
"cauca",29,23378
"cauca",30,23021
"cauca",31,22686
"cauca",32,22436
"cauca",33,22213
"cauca",34,22034
"cauca",35,21847
"cauca",36,21675
"cauca",37,21440
"cauca",38,21057
"cauca",39,20470
"cauca",40,19750
"cauca",41,18978
"cauca",42,18213
"cauca",43,17542
"cauca",44,16967
"cauca",45,16546
"cauca",46,16212
"cauca",47,15992
"cauca",48,15771
"cauca",49,15565
"cauca",50,15346
"cauca",51,15110
"cauca",52,14827
"cauca",53,14568
"cauca",54,14334
"cauca",55,14104
"cauca",56,13822
"cauca",57,13477
"cauca",58,13084
"cauca",59,12632
"cauca",60,12123
"cauca",61,11616
"cauca",62,11113
"cauca",63,10612
"cauca",64,10162
"cauca",65,9701
"cauca",66,9255
"cauca",67,8831
"cauca",68,8397
"cauca",69,7958
"cauca",70,7525
"cauca",71,7090
"cauca",72,6669
"cauca",73,6228
"cauca",74,5840
"cauca",75,5465
"cauca",76,5076
"cauca",77,4715
"cauca",78,4359
"cauca",79,4013
"cauca",80,3717
